Minnesota Vikings,Los Angeles Rams
Miami Dolphins,New England Patriots
Cincinnati Bengals,Atlanta Falcons
Philadelphia Eagles,Tennessee Titans
Detroit Lions,Dallas Cowboys
Houston Texans,Indianapolis Colts
New York Jets,Jacksonville Jaguars
Tampa Bay Buccaneers,Chicago Bears
Buffalo Bills,Green Bay Packers
Seattle Seahawks,Arizona Cardinals
Cleveland Browns,Oakland Raiders
San Francisco 49ers,Los Angeles Chargers
New Orleans Saints,New York Giants
Baltimore Ravens,Pittsburgh Steelers
Kansas City Chiefs,Denver Broncos
