Philadelphia Eagles,New York Giants
Chicago Bears,Miami Dolphins
Arizona Cardinals,Minnesota Vikings
Indianapolis Colts,New York Jets
Pittsburgh Steelers,Cincinnati Bengals
Los Angeles Chargers,Cleveland Browns
Tampa Bay Buccaneers,Atlanta Falcons
Seattle Seahawks,Oakland Raiders
Carolina Panthers,Washington Redskins
Buffalo Bills,Houston Texans
Los Angeles Rams,Denver Broncos
Jacksonville Jaguars,Dallas Cowboys
Baltimore Ravens,Tennessee Titans
Kansas City Chiefs,New England Patriots
San Francisco 49ers,Green Bay Packers
