"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"33427-9644","SG","James","James Harden","Harden","58.08095393105159","63","12400","CHA@HOU","HOU","CHA","","","","",""
"33427-9642","PG","Russell","Russell Westbrook","Westbrook","54.359321206302965","59","11300","OKC@UTA","OKC","UTA","","","","",""
"33427-15595","SG","Bradley","Bradley Beal","Beal","43.85820895522388","67","10800","SAC@WAS","WAS","SAC","","","","",""
"33427-12341","SF","Paul","Paul George","George","49.6031746031746","63","10600","OKC@UTA","OKC","UTA","","","","",""
"33427-15557","C","Andre","Andre Drummond","Drummond","45.617742723034276","62","10600","DET@BKN","DET","BKN","","","","",""
"33427-14498","PG","Kyrie","Kyrie Irving","Irving","43.192858014787944","56","9800","BOS@LAC","BOS","LAC","","","","",""
"33427-14513","SF","Kawhi","Kawhi Leonard","Leonard","45.22857043207908","49","9800","TOR@CLE","TOR","CLE","","","","",""
"33427-40203","C","Rudy","Rudy Gobert","Gobert","41.54153771033654","65","9500","OKC@UTA","UTA","OKC","","","","",""
"33427-66113","SG","Donovan","Donovan Mitchell","Mitchell","37.31129111013105","62","8900","OKC@UTA","UTA","OKC","","","","",""
"33427-9623","PG","Chris","Chris Paul","Paul","37.383720930232556","43","8900","CHA@HOU","HOU","CHA","","","","",""
"33427-14507","PG","Kemba","Kemba Walker","Walker","40.77164106226679","67","8800","CHA@HOU","CHA","HOU","","","","",""
"33427-9874","PF","Kevin","Kevin Love","Love","35.0923086313101","13","8600","TOR@CLE","CLE","TOR","","","","",""
"33427-58312","SG","D'Angelo","D'Angelo Russell","Russell","35.845588235294116","68","8600","DET@BKN","BKN","DET","","","","",""
"33427-9535","PG","Kyle","Kyle Lowry","Lowry","36.496429443359375","56","8500","TOR@CLE","TOR","CLE","","","","",""
"33427-9560","PF","Blake","Blake Griffin","Griffin","42.178123474121094","64","8300","DET@BKN","DET","BKN","","","","",""
"33427-55059","C","Clint","Clint Capela","Capela","39.254901960784316","51","8000","CHA@HOU","HOU","CHA","","","","",""
"33427-80810","PG","De'Aaron","De'Aaron Fox","Fox","36.30153996394231","65","8000","SAC@WAS","SAC","WAS","","","","",""
"33427-60021","PF","Pascal","Pascal Siakam","Siakam","32.384847005208336","66","7700","TOR@CLE","TOR","CLE","","","","",""
"33427-84679","PF","Marvin","Marvin Bagley III","Bagley III","27.241666158040363","48","7500","SAC@WAS","SAC","WAS","O","Knee","","",""
"33427-23665","SG","Buddy","Buddy Hield","Hield","31.983075420673078","65","7400","SAC@WAS","SAC","WAS","","","","",""
"33427-15542","PG","Spencer","Spencer Dinwiddie","Dinwiddie","28.17222312644676","54","7400","DET@BKN","BKN","DET","","","","",""
"33427-9637","SF","Danilo","Danilo Gallinari","Gallinari","31.64821515764509","56","7300","BOS@LAC","LAC","BOS","","","","",""
"33427-9662","SG","Lou","Lou Williams","Williams","32.032786885245905","61","7300","BOS@LAC","LAC","BOS","","","","",""
"33427-23776","PF","Montrezl","Montrezl Harrell","Harrell","31.94626719916045","67","7200","BOS@LAC","LAC","BOS","","","","",""
"33427-9453","C","Al","Al Horford","Horford","32.39122892680921","57","7100","BOS@LAC","BOS","LAC","","","","",""
"33427-23169","C","Steven","Steven Adams","Adams","33.873435974121094","64","7000","OKC@UTA","OKC","UTA","","","","",""
"33427-12351","PF","Derrick","Derrick Favors","Favors","27.484375","64","6500","OKC@UTA","UTA","OKC","","","","",""
"33427-42156","PF","Bobby","Bobby Portis","Portis","27.779411764705884","34","6500","SAC@WAS","WAS","SAC","","","","",""
"33427-80821","C","Jarrett","Jarrett Allen","Allen","28.417910447761194","67","6500","DET@BKN","BKN","DET","","","","",""
"33427-15559","SG","Jeremy","Jeremy Lamb","Lamb","28.292063879588294","63","6500","CHA@HOU","CHA","HOU","GTD","Hamstring","","",""
"33427-9538","SF","Trevor","Trevor Ariza","Ariza","28.864515735257058","62","6400","SAC@WAS","WAS","SAC","","","","",""
"33427-59318","SF","Joe","Joe Ingles","Ingles","26.979999248798077","65","6400","OKC@UTA","UTA","OKC","","","","",""
"33427-9957","PF","Serge","Serge Ibaka","Ibaka","31.057142469618057","63","6400","TOR@CLE","TOR","CLE","","","","",""
"33427-20992","PF","Larry","Larry Nance Jr.","Nance Jr.","27.653570992606028","56","6300","TOR@CLE","CLE","TOR","O","Chest","","",""
"33427-23097","PG","Tomas","Tomas Satoransky","Satoransky","21.631250381469727","64","6300","SAC@WAS","WAS","SAC","","","","",""
"33427-80808","PF","Jayson","Jayson Tatum","Tatum","30.763233857996322","68","6300","BOS@LAC","BOS","LAC","O","Shoulder","","",""
"33427-14496","PG","Ricky","Ricky Rubio","Rubio","28.116071428571427","56","6200","OKC@UTA","UTA","OKC","O","Hip","","",""
"33427-42677","PG","Terry","Terry Rozier","Rozier","21.23846153846154","65","6200","BOS@LAC","BOS","LAC","","","","",""
"33427-12474","PG","Patrick","Patrick Beverley","Beverley","22.207463050956157","67","6200","BOS@LAC","LAC","BOS","","","","",""
"33427-9660","C","Dwight","Dwight Howard","Howard","26.400000678168404","9","6200","SAC@WAS","WAS","SAC","O","Back","","",""
"33427-15946","SF","Harrison","Harrison Barnes","Barnes","26.26500040690104","60","6100","SAC@WAS","SAC","WAS","","","","",""
"33427-9809","SF","Nicolas","Nicolas Batum","Batum","24.67575720584754","66","6100","CHA@HOU","CHA","HOU","","","","",""
"33427-9581","C","Marc","Marc Gasol","Gasol","35.842185974121094","64","6000","TOR@CLE","TOR","CLE","","","","",""
"33427-23823","C","Willie","Willie Cauley-Stein","Cauley-Stein","30.88923152043269","65","5900","SAC@WAS","SAC","WAS","","","","",""
