away,home,awayPct,homePct,awayPts,homePts,awayAllowed,homeAllowed,votes[away],votes[home],away_confidence,home_confidence}
Denver Broncos,Arizona Cardinals,0.3333333333333333,0.16666666666666666,20.0,13.666666666666666,-34,-57,1,0,0.5165399654608299,0
Tennessee Titans,Los Angeles Chargers,0.5,0.6666666666666666,14.5,29.166666666666668,-20,31,0,1,0,0.797926544286475
Minnesota Vikings,New York Jets,0.6666666666666666,0.5,23.333333333333332,27.5,-8,26,0,1,0,0.768006313734544
New England Patriots,Chicago Bears,0.6666666666666666,0.5,29.333333333333332,23.166666666666668,28,43,0,1,0,0.6900003820982461
Detroit Lions,Miami Dolphins,0.3333333333333333,0.6666666666666666,20.833333333333332,21.666666666666668,-12,-15,0,1,0,0.6174248161606013
Cleveland Browns,Tampa Bay Buccaneers,0.3333333333333333,0.3333333333333333,21.333333333333332,23.5,-23,-32,0,1,0,0.6031004438308152
Carolina Panthers,Philadelphia Eagles,0.5,0.5,20.166666666666668,22.833333333333332,7,20,0,1,0,0.7102010976521141
Houston Texans,Jacksonville Jaguars,0.5,0.5,22.5,18.166666666666668,-2,-17,0,1,0,0.564737044000994
Buffalo Bills,Indianapolis Colts,0.3333333333333333,0.16666666666666666,12.666666666666666,25.333333333333332,-62,-28,0,1,0,0.7133427871816523
New Orleans Saints,Baltimore Ravens,0.6666666666666666,0.6666666666666666,30.0,25.5,40,76,0,1,0,0.7851960349090699
Dallas Cowboys,Washington Redskins,0.5,0.5,20.5,17.666666666666668,20,2,0,1,0,0.5693633776627471
Los Angeles Rams,San Francisco 49ers,1.0,0.16666666666666666,32.666666666666664,24.666666666666668,78,-31,1,0,0.6660982666737885,0
Cincinnati Bengals,Kansas City Chiefs,0.6666666666666666,0.8333333333333334,29.0,35.833333333333336,16,43,0,1,0,0.8107830108630473
New York Giants,Atlanta Falcons,0.16666666666666666,0.3333333333333333,19.5,27.833333333333332,-45,-25,0,1,0,0.702000371231135
